# iteration	testing	training
0005000	0.059950617284	0.0489926739927
0010000	0.0340740740741	0.0244020685197
0015000	0.030024691358	0.0173184658479
0020000	0.0266666666667	0.0137093298858
0025000	0.0235061728395	0.0104503339797
0030000	0.0246913580247	0.0092383107089
0035000	0.0209382716049	0.0076222796811
0040000	0.0186666666667	0.00667959491489
0045000	0.0209382716049	0.00813402283991
0050000	0.019950617284	0.0065987933635
0055000	0.0193580246914	0.00554837319543
